const,nconst,writer
tt0025004,nm0857710,Harvey F. Thew
tt0025037,nm0027173,Maxwell Anderson
tt0025037,nm0499628,Gladys Lehman
tt0025037,nm0143281,Alberto Casella
tt0025037,nm0274923,Walter Ferris
tt0025301,nm0403595,Fannie Hurst
tt0025301,nm0403398,William Hurlbut
tt0025301,nm0002545,Preston Sturges
tt0025301,nm0242850,Finley Peter Dunne
tt0025301,nm0274923,Walter Ferris
tt0025301,nm0318341,Bianca Gilchrist
tt0025301,nm0373511,Victor Heerman
tt0025301,nm0556945,Sarah Y. Mason
tt0025301,nm0650338,Samuel Ornitz
tt0025301,nm0725017,Arthur Richman
tt0025316,nm0728307,Robert Riskin
tt0025316,nm0011343,Samuel Hopkins Adams
tt0025452,nm0071657,Charles Bennett
tt0025452,nm0943922,D.B. Wyndham-Lewis
tt0025452,nm0339326,Edwin Greenwood
tt0025452,nm0712653,A.R. Rawlinson
tt0025452,nm0930539,Emlyn Williams
tt0025478,nm0286924,Willi Forst
tt0025478,nm0281556,Walter Reisch
tt0025878,nm0352443,Albert Hackett
tt0025878,nm0329304,Frances Goodrich
tt0025878,nm0358591,Dashiell Hammett
tt0025880,nm0002545,Preston Sturges
tt0025880,nm0664022,Frank Partos
tt0025880,nm0375500,Sam Hellman
tt0025880,nm0562372,Edwin Justus Mayer
tt0025880,nm0445502,Clarence Budington Kelland
tt0025919,nm0589619,Charles Bruce Millholland
tt0025919,nm0372942,Ben Hecht
tt0025919,nm0531269,Charles MacArthur
tt0025919,nm0002545,Preston Sturges
tt0025919,nm0288706,Gene Fowler
tt0026029,nm0117955,John Buchan
tt0026029,nm0071657,Charles Bennett
tt0026029,nm0067308,Ian Hay
tt0026071,nm0866243,Lev Tolstoy
tt0026071,nm0199304,Clemence Dane
tt0026071,nm0826554,Salka Viertel
tt0026071,nm0067103,S.N. Behrman
tt0026138,nm0791217,Mary Shelley
tt0026138,nm0403398,William Hurlbut
tt0026138,nm0049721,John L. Balderston
tt0026138,nm0076653,Josef Berne
tt0026138,nm0088662,Lawrence G. Blochman
tt0026138,nm0282984,Robert Florey
tt0026138,nm0531878,Philip MacDonald
tt0026138,nm0715723,Tom Reed
tt0026138,nm0792670,R.C. Sherriff
tt0026138,nm1073460,Edmund Pearson
tt0026138,nm2191908,Morton Covan
tt0026316,nm0281556,Walter Reisch
tt0026406,nm0449095,Eric Keown
tt0026406,nm0792845,Robert E. Sherwood
tt0026406,nm0449698,Geoffrey Kerr
tt0026452,nm0469915,Norman Krasna
tt0026452,nm0493071,Vincent Lawrence
tt0026452,nm0276252,Herbert Fields
tt0026452,nm0217568,Viña Delmar
tt0026452,nm0132180,Alan Campbell
tt0026452,nm0456646,Jack Kirkland
tt0026452,nm0662213,Dorothy Parker
tt0026452,nm0664022,Frank Partos
tt0026519,nm0337914,Howard J. Green
tt0026519,nm0700717,Gertrude Purcell
tt0026519,nm0378540,F. Hugh Herbert
tt0027521,nm0287124,Garrett Fort
tt0027521,nm0256880,Guy Endore
tt0027521,nm0002233,Erich von Stroheim
tt0027521,nm0115218,Tod Browning
tt0027521,nm0581388,Abraham Merritt
tt0027521,nm0770337,Richard Schayer
tt0027884,nm0914362,Maurine Dallas Watkins
tt0027884,nm0736911,Howard Emmett Rogers
tt0027884,nm0649183,George Oppenheimer
tt0027884,nm0838395,Wallace Sullivan
tt0027908,nm0276252,Herbert Fields
tt0027908,nm0049903,Faith Baldwin
tt0027908,nm0700717,Gertrude Purcell
tt0027908,nm0002545,Preston Sturges
tt0027908,nm0083125,Claude Binyon
tt0027908,nm0167065,Harry Clork
tt0027908,nm0388755,Samuel Hoffenstein
tt0027908,nm0540147,Doris Malloy
tt0027977,nm0000122,Charles Chaplin
tt0027996,nm0728307,Robert Riskin
tt0027996,nm0445502,Clarence Budington Kelland
tt0028010,nm0753452,Morrie Ryskind
tt0028010,nm0368719,Eric Hatch
tt0028010,nm0015399,Zoe Akins
tt0028010,nm0478441,Gregory La Cava
tt0028010,nm0696190,Robert Presnell Sr.
tt0028096,nm0448981,Charles Kenyon
tt0028096,nm0202681,Delmer Daves
tt0028096,nm0792845,Robert E. Sherwood
tt0028138,nm0216755,Walter DeLeon
tt0028138,nm0552289,Francis Martin
tt0028138,nm0366942,Don Hartman
tt0028138,nm0124918,Frank Butler
tt0028138,nm0531878,Philip MacDonald
tt0028138,nm0737310,Louis Lucien Rogger
tt0028138,nm0083125,Claude Binyon
tt0028138,nm0697362,J.B. Priestley
tt0028212,nm0175676,Joseph Conrad
tt0028212,nm0071657,Charles Bennett
tt0028212,nm0067308,Ian Hay
tt0028212,nm0801026,Helen Simpson
tt0028212,nm0256532,E.V.H. Emmett
tt0028358,nm0920229,H.G. Wells
tt0028597,nm0217568,Viña Delmar
tt0028597,nm0725017,Arthur Richman
tt0028597,nm0118227,Sidney Buchman
tt0028632,nm0135015,Karel Capek
tt0028632,nm0351947,Hugo Haas
tt0028683,nm0015399,Zoe Akins
tt0028683,nm0547966,Frances Marion
tt0028683,nm0385264,James Hilton
tt0028683,nm0241414,Alexandre Dumas fils
tt0028683,nm0460130,Isabelle Kloucowski
tt0028683,nm0933133,Carey Wilson
tt0028816,nm0002545,Preston Sturges
tt0028816,nm0143837,Vera Caspary
tt0029217,nm0744035,Robert Rossen
tt0029217,nm0277874,Abem Finkel
tt0029217,nm0589316,Seton I. Miller
tt0029284,nm0818415,Bella Spewack
tt0029284,nm0818416,Sam Spewack
tt0029284,nm0564970,Leo McCarey
tt0029284,nm0437717,Garson Kanin
tt0029284,nm0565609,John McClain
tt0029284,nm0855139,Alfred Lord Tennyson
tt0029322,nm0372942,Ben Hecht
tt0029322,nm0834077,James Street
tt0029322,nm0006388,David O. Selznick
tt0029322,nm0308604,Robert Carson
tt0029322,nm0366454,Moss Hart
tt0029322,nm0397608,Sidney Howard
tt0029322,nm0442151,George S. Kaufman
tt0029322,nm0488057,Ring Lardner Jr.
tt0029322,nm0649183,George Oppenheimer
tt0029322,nm0775977,Budd Schulberg
tt0029322,nm0920074,William A. Wellman
tt0029695,nm0083125,Claude Binyon
tt0029695,nm0894579,Louis Verneuil
tt0029695,nm0077278,Georges Berr
tt0029811,nm0856758,Josephine Tey
tt0029811,nm0071657,Charles Bennett
tt0029811,nm0339326,Edwin Greenwood
tt0029811,nm0035613,Anthony Armstrong
tt0029811,nm0767902,Gerald Savory
tt0029929,nm0102818,Charles Brackett
tt0029929,nm0000697,Billy Wilder
tt0029929,nm0767878,Alfred Savoir
tt0029929,nm0028602,Charlton Andrews
tt0029947,nm0629580,Dudley Nichols
tt0029947,nm0928444,Hagar Wilde
tt0030063,nm0083742,Lajos Biró
tt0030063,nm0198202,Ian Dalrymple
tt0030063,nm0934497,Arthur Wimperis
tt0030063,nm0906774,Gilbert Wakefield
tt0030063,nm0792845,Robert E. Sherwood
tt0030145,nm0276252,Herbert Fields
tt0030145,nm0276284,Joseph Fields
tt0030145,nm0106505,Irving Brecher
tt0030145,nm0358071,Nancy Hamilton
tt0030145,nm0796007,James L. Shute
tt0030145,nm0143525,Rosemary Casey
tt0030145,nm0258493,Julius J. Epstein
tt0030145,nm0280223,Edith Fitzgerald
tt0030145,nm0744035,Robert Rossen
tt0030241,nm0829330,Donald Ogden Stewart
tt0030241,nm0118227,Sidney Buchman
tt0030241,nm0058129,Philip Barry
tt0030287,nm0728002,Clements Ripley
tt0030287,nm0277874,Abem Finkel
tt0030287,nm0001379,John Huston
tt0030287,nm0205244,Owen Davis
tt0030287,nm0118758,Robert Buckner
tt0030287,nm0248994,Louis F. Edelman
tt0030341,nm0924781,Ethel Lina White
tt0030341,nm0319148,Sidney Gilliat
tt0030341,nm0490950,Frank Launder
tt0031067,nm0469915,Norman Krasna
tt0031067,nm0413519,Felix Jackson
tt0031067,nm0437717,Garson Kanin
tt0031210,nm0732452,Casey Robinson
tt0031210,nm0108108,George Emerson Brewer Jr.
tt0031210,nm0088602,Bertram Bloch
tt0031215,nm0037734,Art Arthur
tt0031215,nm0361837,Robert Harari
tt0031215,nm0853042,Rex Taylor
tt0031215,nm0375500,Sam Hellman
tt0031359,nm0358096,Patrick Hamilton
tt0031359,nm0712653,A.R. Rawlinson
tt0031359,nm0092658,Bridget Boland
tt0031381,nm0593565,Margaret Mitchell
tt0031381,nm0397608,Sidney Howard
tt0031381,nm0308177,Oliver H.P. Garrett
tt0031381,nm0372942,Ben Hecht
tt0031381,nm0842485,Jo Swerling
tt0031381,nm0886668,John Van Druten
tt0031385,nm0792670,R.C. Sherriff
tt0031385,nm0921995,Claudine West
tt0031385,nm0556178,Eric Maschwitz
tt0031385,nm0385264,James Hilton
tt0031477,nm0792553,Richard Sherman
tt0031477,nm0108024,Bessie Breuer
tt0031505,nm0238898,Daphne Du Maurier
tt0031505,nm0319148,Sidney Gilliat
tt0031505,nm0365661,Joan Harrison
tt0031505,nm0697362,J.B. Priestley
tt0031593,nm0202681,Delmer Daves
tt0031593,nm0829330,Donald Ogden Stewart
tt0031593,nm0186118,Mildred Cram
tt0031593,nm0564970,Leo McCarey
tt0031593,nm0067103,S.N. Behrman
tt0031725,nm0102818,Charles Brackett
tt0031725,nm0000697,Billy Wilder
tt0031725,nm0281556,Walter Reisch
tt0031725,nm0501872,Melchior Lengyel
tt0031762,nm0299154,Jules Furthman
tt0031762,nm0001328,Howard Hawks
tt0031762,nm0341178,Eleanore Griffin
tt0031762,nm0710299,William Rankin
tt0031845,nm0285578,Corey Ford
tt0031845,nm0572851,Norman Z. McLeod
tt0031885,nm0719756,Jean Renoir
tt0031885,nm0002569,Carl Koch
tt0031885,nm0064559,Beaumarchais
tt0031951,nm0791217,Mary Shelley
tt0031951,nm0178459,Wyllis Cooper
tt0032138,nm0486538,Noel Langley
tt0032138,nm0753249,Florence Ryerson
tt0032138,nm0941138,Edgar Allan Woolf
tt0032138,nm0000875,L. Frank Baum
tt0032138,nm0002030,George Cukor
tt0032138,nm0006085,Arthur Freed
tt0032138,nm0106505,Irving Brecher
tt0032138,nm0134284,William H. Cannon
tt0032138,nm0276252,Herbert Fields
tt0032138,nm0355095,Jack Haley
tt0032138,nm0361971,E.Y. Harburg
tt0032138,nm0388755,Samuel Hoffenstein
tt0032138,nm0481618,Bert Lahr
tt0032138,nm0536941,John Lee Mahin
tt0032138,nm0542534,Herman J. Mankiewicz
tt0032138,nm0591774,Jack Mintz
tt0032138,nm0621790,Ogden Nash
tt0032138,nm0685265,Robert Pirosh
tt0032138,nm0780833,George Seaton
tt0032138,nm0799015,Sid Silvers
tt0032138,nm0861703,Richard Thorpe
tt0032138,nm0896542,King Vidor
tt0032143,nm0524403,Clare Boothe Luce
tt0032143,nm0002616,Anita Loos
tt0032143,nm0613848,Jane Murfin
tt0032143,nm0280234,F. Scott Fitzgerald
tt0032143,nm0829330,Donald Ogden Stewart
tt0032145,nm0531269,Charles MacArthur
tt0032145,nm0372942,Ben Hecht
tt0032145,nm0111577,Emily Brontë
tt0032145,nm0001379,John Huston
tt0032349,nm0372942,Ben Hecht
tt0032349,nm0496468,Charles Lederer
tt0032349,nm0281556,Walter Reisch
tt0032349,nm0542534,Herman J. Mankiewicz
tt0032349,nm0718106,Gottfried Reinhardt
tt0032484,nm0071657,Charles Bennett
tt0032484,nm0365661,Joan Harrison
tt0032484,nm0385264,James Hilton
tt0032484,nm0070361,Robert Benchley
tt0032484,nm0372942,Ben Hecht
tt0032484,nm0537363,Richard Maibaum
tt0032553,nm0000122,Charles Chaplin
tt0032599,nm0496468,Charles Lederer
tt0032599,nm0372942,Ben Hecht
tt0032599,nm0531269,Charles MacArthur
tt0032599,nm0753452,Morrie Ryskind
tt0032610,nm0170660,Lester Cole
tt0032610,nm0338770,Harold Greene
tt0032610,nm0370426,Nathaniel Hawthorne
tt0032904,nm0829330,Donald Ogden Stewart
tt0032904,nm0058129,Philip Barry
tt0032904,nm0759029,Waldo Salt
tt0032943,nm0404717,Aldous Huxley
tt0032943,nm0613848,Jane Murfin
tt0032943,nm0000807,Jane Austen
tt0032943,nm0422017,Helen Jerome
tt0032943,nm0373511,Victor Heerman
tt0032943,nm0556945,Sarah Y. Mason
tt0032943,nm0805756,Tess Slesinger
tt0032943,nm0886668,John Van Druten
tt0032976,nm0238898,Daphne Du Maurier
tt0032976,nm0792845,Robert E. Sherwood
tt0032976,nm0365661,Joan Harrison
tt0032976,nm0531878,Philip MacDonald
tt0032976,nm0389580,Michael Hogan
tt0033045,nm0710723,Samson Raphaelson
tt0033045,nm0529450,Miklós László
tt0033045,nm0372942,Ben Hecht
tt0033190,nm0810158,Thorne Smith
tt0033190,nm0636793,Mickell Novack
tt0033190,nm0318428,Berne Giler
tt0033190,nm0565609,John McClain
tt0033190,nm0416861,Rian James
tt0033373,nm0102818,Charles Brackett
tt0033373,nm0000697,Billy Wilder
tt0033373,nm0598572,Thomas Monroe
tt0033432,nm0247252,Kenneth Earl
tt0033432,nm0615842,M.M. Musselman
tt0033432,nm0258493,Julius J. Epstein
tt0033596,nm0649183,George Oppenheimer
tt0033596,nm0367060,Edmund L. Hartmann
tt0033596,nm0621790,Ogden Nash
tt0033717,nm0001379,John Huston
tt0033717,nm0122446,W.R. Burnett
tt0033804,nm0388743,Monckton Hoffe
tt0033804,nm0002545,Preston Sturges
tt0033836,nm0375484,Lillian Hellman
tt0033836,nm0462111,Arthur Kober
tt0033836,nm0662213,Dorothy Parker
tt0033836,nm0132180,Alan Campbell
tt0033870,nm0001379,John Huston
tt0033870,nm0358591,Dashiell Hammett
tt0033922,nm0469915,Norman Krasna
tt0034240,nm0002545,Preston Sturges
tt0034248,nm0710723,Samson Raphaelson
tt0034248,nm0365661,Joan Harrison
tt0034248,nm0720904,Alma Reville
tt0034248,nm0075324,Anthony Berkeley
tt0034386,nm0491076,S.K. Lauren
tt0034386,nm0002616,Anita Loos
tt0034386,nm0189405,Rachel Crothers
tt0034386,nm0330390,Leon Gordon
tt0034386,nm0576046,John Meehan
tt0034428,nm0531335,Richard Macaulay
tt0034428,nm0308604,Robert Carson
tt0034583,nm16909158,Philip G. Epstein
tt0034583,nm0258493,Julius J. Epstein
tt0034583,nm0462321,Howard Koch
tt0034583,nm0122417,Murray Burnett
tt0034583,nm0019706,Joan Alison
tt0034583,nm0732452,Casey Robinson
tt0034587,nm0090840,DeWitt Bodeen
tt0034881,nm0685265,Robert Pirosh
tt0034881,nm0175091,Marc Connelly
tt0034881,nm0810158,Thorne Smith
tt0034881,nm0559370,Norman Matson
tt0034881,nm0163229,René Clair
tt0034881,nm0726542,André Rigaud
tt0034881,nm0874308,Dalton Trumbo
tt0035140,nm0732452,Casey Robinson
tt0035140,nm0698989,Olive Higgins Prouty
tt0035169,nm0002545,Preston Sturges
tt0035169,nm0290926,Ernst Laemmle
tt0035279,nm0896830,Peter Viertel
tt0035279,nm0365661,Joan Harrison
tt0035279,nm0662213,Dorothy Parker
tt0035279,nm0000033,Alfred Hitchcock
tt0035417,nm0789758,Irwin Shaw
tt0035417,nm0118227,Sidney Buchman
tt0035417,nm0886861,Dale Van Every
tt0035417,nm0363563,Sidney Harmon
tt0035423,nm0737216,Steven Rogers
tt0035423,nm0003506,James Mangold
tt0035446,nm0501872,Melchior Lengyel
tt0035446,nm0562372,Edwin Justus Mayer
tt0035446,nm0523932,Ernst Lubitsch
tt0035567,nm0488057,Ring Lardner Jr.
tt0035567,nm0437720,Michael Kanin
tt0035567,nm0536941,John Lee Mahin
tt0036172,nm0751417,Robert Russell
tt0036172,nm0743407,Frank Ross
tt0036172,nm0283133,Richard Flournoy
tt0036172,nm0287931,Lewis R. Foster
tt0036172,nm0437717,Garson Kanin
tt0036260,nm0774441,Bernard C. Schoenfeld
tt0036260,nm0941280,Cornell Woolrich
tt0036323,nm0493251,John Howard Lawson
tt0036323,nm0466113,Zoltan Korda
tt0036323,nm0641199,James O'Hanlon
tt0036323,nm0531878,Philip MacDonald
tt0036323,nm0118227,Sidney Buchman
tt0036342,nm0928642,Thornton Wilder
tt0036342,nm0072639,Sally Benson
tt0036342,nm0720904,Alma Reville
tt0036342,nm0568060,Gordon McDonell
tt0036391,nm0413531,Frederick J. Jackson
tt0036391,nm0462752,Ted Koehler
tt0036391,nm0469196,H.S. Kraft
tt0036391,nm0395839,Jerry Horwin
tt0036391,nm0733085,Seymour Robinson
tt0036554,nm0649183,George Oppenheimer
tt0036554,nm0496468,Charles Lederer
tt0036554,nm0818700,Leonard Spigelgass
tt0036554,nm0206487,Lillian Day
tt0036554,nm0287430,Jan Fortune
tt0036613,nm0258493,Julius J. Epstein
tt0036613,nm0450279,Joseph Kesselring
tt0036733,nm0090840,DeWitt Bodeen
tt0036775,nm0000697,Billy Wilder
tt0036775,nm0151452,Raymond Chandler
tt0036775,nm0128906,James M. Cain
tt0036855,nm0886668,John Van Druten
tt0036855,nm0281556,Walter Reisch
tt0036855,nm0049721,John L. Balderston
tt0036855,nm0358096,Patrick Hamilton
tt0037008,nm0143837,Vera Caspary
tt0037008,nm0237225,Jay Dratler
tt0037008,nm0388755,Samuel Hoffenstein
tt0037008,nm0718101,Elizabeth Reinhardt
tt0037008,nm0488057,Ring Lardner Jr.
tt0037077,nm0002545,Preston Sturges
tt0037094,nm0258493,Julius J. Epstein
tt0037094,nm0901896,Elizabeth von Arnim
tt0037382,nm0002133,Ernest Hemingway
tt0037382,nm0299154,Jules Furthman
tt0037382,nm0001203,William Faulkner
tt0037382,nm0010850,Cleve F. Adams
tt0037382,nm0150462,Whitman Chambers
tt0037453,nm0500020,Fritz Leiber Jr.
tt0037453,nm0201405,Scott Darling
tt0037453,nm0918709,Brenda Weisberg
tt0037558,nm0002021,Noël Coward
tt0037558,nm0369743,Anthony Havelock-Allan
tt0037558,nm0000180,David Lean
tt0037558,nm0623768,Ronald Neame
tt0037870,nm0102694,Blanche Brace
tt0037870,nm0779059,DeVallon Scott
tt0037870,nm0295134,Alan Friedman
tt0037884,nm0413352,Charles R. Jackson
tt0037884,nm0102818,Charles Brackett
tt0037884,nm0000697,Billy Wilder
tt0038109,nm0372942,Ben Hecht
tt0038109,nm1301541,John Palmer
tt0038109,nm0761573,Hilary St George Saunders
tt0038109,nm0534191,Angus MacPhail
tt0038109,nm0739676,May E. Romm
tt0038355,nm0001203,William Faulkner
tt0038355,nm0102824,Leigh Brackett
tt0038355,nm0299154,Jules Furthman
tt0038355,nm0151452,Raymond Chandler
tt0038559,nm0254154,E.A. Ellington
tt0038559,nm0252100,Jo Eisinger
tt0038559,nm0663763,Marion Parsonnet
tt0038559,nm0372942,Ben Hecht
tt0038650,nm0329304,Frances Goodrich
tt0038650,nm0352443,Albert Hackett
tt0038650,nm0001008,Frank Capra
tt0038650,nm0842485,Jo Swerling
tt0038650,nm0827821,Philip Van Doren Stern
tt0038650,nm0933858,Michael Wilson
tt0038787,nm0372942,Ben Hecht
tt0038787,nm0000033,Alfred Hitchcock
tt0038787,nm0285218,John Taintor Foote
tt0038787,nm0644048,Clifford Odets
tt0038937,nm0512702,Eugene Ling
tt0038937,nm0218626,Albert DeMond
tt0038937,nm0075344,Martin Berkeley
tt0039169,nm0791084,Sidney Sheldon
tt0039312,nm0731387,Marguerite Roberts
tt0039312,nm0015399,Zoe Akins
tt0039312,nm0732452,Casey Robinson
tt0039312,nm0291016,Leonhard Frank
tt0039416,nm0387740,Laura Z. Hobson
tt0039416,nm0366454,Moss Hart
tt0039416,nm0001415,Elia Kazan
tt0040498,nm0525067,William Ludwig
tt0040498,nm0750822,Harry Ruskin
tt0040498,nm0934497,Arthur Wimperis
tt0040498,nm0442456,Gina Kaus
tt0040498,nm0388743,Monckton Hoffe
tt0040498,nm0789100,Margery Sharp
tt0040506,nm0112218,Richard Brooks
tt0040506,nm0001379,John Huston
tt0040506,nm0027173,Maxwell Anderson
tt0040522,nm0953790,Cesare Zavattini
tt0040522,nm0059030,Luigi Bartolini
tt0040522,nm0080755,Oreste Biancoli
tt0040522,nm0147599,Suso Cecchi D'Amico
tt0040522,nm0001120,Vittorio De Sica
tt0040522,nm0290000,Adolfo Franci
tt0040522,nm0315657,Gherardo Gherardi
tt0040522,nm0346291,Gerardo Guerrieri
tt0040536,nm0462321,Howard Koch
tt0040536,nm0959003,Stefan Zweig
tt0040536,nm0649097,Max Ophüls
tt0040725,nm0026153,Hans Christian Andersen
tt0040725,nm0696247,Emeric Pressburger
tt0040725,nm0935773,Keith Winter
tt0040725,nm0003836,Michael Powell
tt0040746,nm0002025,Hume Cronyn
tt0040746,nm0358096,Patrick Hamilton
tt0040746,nm0491306,Arthur Laurents
tt0040746,nm0372942,Ben Hecht
tt0040897,nm0001379,John Huston
tt0040897,nm0871252,B. Traven
tt0041090,nm0002106,Ruth Gordon
tt0041090,nm0437717,Garson Kanin
tt0041172,nm0168829,Lenore J. Coffee
