const,nconst,director
tt0028816,nm0500552,Mitchell Leisen
tt0029217,nm0045800,Lloyd Bacon
tt0029217,nm0002031,Michael Curtiz
tt0029284,nm0437717,Garson Kanin
tt0029322,nm0920074,William A. Wellman
tt0029695,nm0749484,Wesley Ruggles
tt0029811,nm0000033,Alfred Hitchcock
tt0029929,nm0523932,Ernst Lubitsch
tt0029947,nm0001328,Howard Hawks
tt0030063,nm0924065,Tim Whelan
tt0030145,nm0503777,Mervyn LeRoy
tt0030241,nm0002030,George Cukor
tt0030287,nm0943758,William Wyler
tt0030341,nm0000033,Alfred Hitchcock
tt0031067,nm0437717,Garson Kanin
tt0031210,nm0332539,Edmund Goulding
tt0031215,nm0711855,Gregory Ratoff
tt0031359,nm0225555,Thorold Dickinson
tt0031381,nm0281808,Victor Fleming
tt0031385,nm0939992,Sam Wood
tt0031385,nm0291548,Sidney Franklin
tt0031477,nm0188669,John Cromwell
tt0031505,nm0000033,Alfred Hitchcock
tt0031593,nm0564970,Leo McCarey
tt0031725,nm0523932,Ernst Lubitsch
tt0031762,nm0001328,Howard Hawks
tt0031845,nm0572851,Norman Z. McLeod
tt0031885,nm0719756,Jean Renoir
tt0031951,nm0498174,Rowland V. Lee
tt0032138,nm0281808,Victor Fleming
tt0032138,nm0896542,King Vidor
tt0032143,nm0002030,George Cukor
tt0032145,nm0943758,William Wyler
tt0032349,nm0896542,King Vidor
tt0032484,nm0000033,Alfred Hitchcock
tt0032553,nm0000122,Charles Chaplin
tt0032599,nm0001328,Howard Hawks
tt0032610,nm0562004,Joe May
tt0032904,nm0002030,George Cukor
tt0032943,nm0502752,Robert Z. Leonard
tt0032976,nm0000033,Alfred Hitchcock
tt0033045,nm0523932,Ernst Lubitsch
tt0033190,nm0730018,Hal Roach
tt0033373,nm0001328,Howard Hawks
tt0033432,nm0445033,William Keighley
tt0033596,nm0886754,W.S. Van Dyke
tt0033717,nm0909825,Raoul Walsh
tt0033804,nm0002545,Preston Sturges
tt0033836,nm0943758,William Wyler
tt0033870,nm0001379,John Huston
tt0033922,nm0000033,Alfred Hitchcock
tt0034240,nm0002545,Preston Sturges
tt0034248,nm0000033,Alfred Hitchcock
tt0034386,nm0502752,Robert Z. Leonard
tt0034428,nm0001379,John Huston
tt0034428,nm0792605,Vincent Sherman
tt0034583,nm0002031,Michael Curtiz
tt0034587,nm0869664,Jacques Tourneur
tt0034881,nm0163229,René Clair
tt0035140,nm0710924,Irving Rapper
tt0035169,nm0002545,Preston Sturges
tt0035279,nm0000033,Alfred Hitchcock
tt0035417,nm0828419,George Stevens
tt0035423,nm0003506,James Mangold
tt0035446,nm0523932,Ernst Lubitsch
tt0035567,nm0828419,George Stevens
tt0036172,nm0828419,George Stevens
tt0036260,nm0802563,Robert Siodmak
tt0036323,nm0466113,Zoltan Korda
tt0036342,nm0000033,Alfred Hitchcock
tt0036391,nm0831720,Andrew L. Stone
tt0036554,nm0125636,Edward Buzzell
tt0036613,nm0001008,Frank Capra
tt0036733,nm0902270,Gunther von Fritsch
tt0036733,nm0936404,Robert Wise
tt0036775,nm0000697,Billy Wilder
tt0036855,nm0002030,George Cukor
tt0037008,nm0695937,Otto Preminger
tt0037008,nm0541149,Rouben Mamoulian
tt0037077,nm0002545,Preston Sturges
tt0037094,nm0792605,Vincent Sherman
tt0037382,nm0001328,Howard Hawks
tt0037453,nm0494110,Reginald Le Borg
tt0037558,nm0000180,David Lean
tt0037870,nm0202088,Jules Dassin
tt0037884,nm0000697,Billy Wilder
tt0038109,nm0000033,Alfred Hitchcock
tt0038355,nm0001328,Howard Hawks
tt0038559,nm0896533,Charles Vidor
tt0038650,nm0001008,Frank Capra
tt0038787,nm0000033,Alfred Hitchcock
tt0038937,nm0921288,Alfred L. Werker
tt0039169,nm0718321,Irving Reis
tt0039312,nm0176699,Jack Conway
tt0039312,nm0002030,George Cukor
tt0039312,nm0503777,Mervyn LeRoy
tt0039312,nm0767701,Victor Saville
tt0039416,nm0001415,Elia Kazan
tt0040498,nm0176699,Jack Conway
tt0040506,nm0001379,John Huston
tt0040522,nm0001120,Vittorio De Sica
tt0040536,nm0649097,Max Ophüls
tt0040725,nm0003836,Michael Powell
tt0040725,nm0696247,Emeric Pressburger
tt0040746,nm0000033,Alfred Hitchcock
tt0040897,nm0001379,John Huston
tt0041090,nm0002030,George Cukor
tt0041172,nm0896542,King Vidor
tt0041587,nm0000581,Joseph L. Mankiewicz
tt0041672,nm0733476,Mark Robson
tt0041776,nm0225555,Thorold Dickinson
tt0041959,nm0715346,Carol Reed
tt0042004,nm0000033,Alfred Hitchcock
tt0042192,nm0000581,Joseph L. Mankiewicz
tt0042325,nm0926636,Richard Whorf
tt0042546,nm0467396,Henry Koster
tt0042593,nm0712947,Nicholas Ray
tt0042792,nm0000581,Joseph L. Mankiewicz
tt0042994,nm0000033,Alfred Hitchcock
tt0043014,nm0000697,Billy Wilder
tt0043265,nm0001379,John Huston
tt0043456,nm0936404,Robert Wise
tt0043686,nm0167496,René Clément
tt0043728,nm0461348,Edwin H. Knopf
tt0043792,nm0500552,Mitchell Leisen
tt0044079,nm0000033,Alfred Hitchcock
tt0044486,nm0943758,William Wyler
tt0044672,nm0001124,Cecil B. DeMille
tt0044837,nm0000122,Charles Chaplin
tt0044941,nm0564970,Leo McCarey
tt0045012,nm0002030,George Cukor
tt0045073,nm0395105,Harry Horner
tt0045152,nm0002045,Stanley Donen
tt0045152,nm0000037,Gene Kelly
tt0045546,nm0522123,Eugène Lourié
tt0045888,nm0211964,André De Toth
tt0045920,nm0000791,Jack Arnold
tt0046026,nm0802561,Curt Siodmak
tt0046026,nm0834744,Herbert L. Strock
tt0046186,nm0928644,W. Lee Wilder
tt0046250,nm0943758,William Wyler
tt0046754,nm0000581,Joseph L. Mankiewicz
tt0046828,nm0695937,Otto Preminger
tt0046911,nm0167241,Henri-Georges Clouzot
tt0046912,nm0000033,Alfred Hitchcock
tt0047200,nm0103975,John Brahm
tt0047396,nm0000033,Alfred Hitchcock
tt0047437,nm0000697,Billy Wilder
tt0047528,nm0000019,Federico Fellini
tt0047580,nm0624535,Jean Negulesco
tt0047679,nm0746740,Roy Rowland
tt0047811,nm0802862,Douglas Sirk
tt0047960,nm0128715,Edward L. Cahn
tt0047985,nm0943758,William Wyler
tt0048491,nm0517597,Joshua Logan
tt0048545,nm0712947,Nicholas Ray
tt0048673,nm0000180,David Lean
tt0048728,nm0000033,Alfred Hitchcock
tt0048750,nm0000033,Alfred Hitchcock
tt0048801,nm0002031,Michael Curtiz
tt0048947,nm0514822,Anatole Litvak
tt0048991,nm0469436,David Kramarsky
tt0048991,nm0000339,Roger Corman
tt0048991,nm0686340,Lou Place
tt0049261,nm0828419,George Stevens
tt0049366,nm0796923,Don Siegel
tt0049408,nm0485943,Walter Lang
tt0049470,nm0000033,Alfred Hitchcock
tt0049833,nm0001124,Cecil B. DeMille
tt0050083,nm0001486,Sidney Lumet
tt0050105,nm0564970,Leo McCarey
tt0050306,nm0591486,Vincente Minnelli
tt0050307,nm0485943,Walter Lang
tt0050419,nm0002045,Stanley Donen
tt0050539,nm0000791,Jack Arnold
tt0050658,nm0000697,Billy Wilder
tt0050783,nm0000019,Federico Fellini
tt0050815,nm0796645,George Sidney
tt0050861,nm0000059,Laurence Olivier
tt0051207,nm0000033,Alfred Hitchcock
tt0051380,nm0432846,Nathan Juran
tt0051406,nm0703689,Richard Quine
tt0051622,nm0627087,Kurt Neumann
tt0051744,nm0145336,William Castle
tt0051756,nm0288635,Gene Fowler Jr.
tt0051913,nm0030917,Joseph Anthony
tt0051948,nm0000791,Jack Arnold
tt0052063,nm0367860,Wojciech Has
tt0052080,nm0906667,Andrzej Wajda
tt0052357,nm0000033,Alfred Hitchcock
tt0052618,nm0943758,William Wyler
tt0052820,nm0128715,Edward L. Cahn
tt0052918,nm0802862,Douglas Sirk
tt0053125,nm0000033,Alfred Hitchcock
tt0053131,nm0003593,Fred Zinnemann
tt0053143,nm0001175,Blake Edwards
tt0053172,nm0330456,Michael Gordon
tt0053198,nm0000076,François Truffaut
tt0053219,nm0076618,Edward Bernds
tt0053291,nm0000697,Billy Wilder
tt0053363,nm0145336,William Castle
tt0053459,nm0290802,Georges Franju
tt0053472,nm0000419,Jean-Luc Godard
tt0053604,nm0000697,Billy Wilder
tt0053925,nm0000339,Roger Corman
tt0054020,nm0215085,Edward Dein
tt0054067,nm0000878,Mario Bava
tt0054215,nm0000033,Alfred Hitchcock
tt0054443,nm0727211,Wolf Rilla
tt0054698,nm0001175,Blake Edwards
tt0054743,nm0943758,William Wyler
tt0055100,nm0542720,Delbert Mann
tt0055152,nm0936823,William Witney
tt0055256,nm0000697,Billy Wilder
tt0055304,nm0000339,Roger Corman
tt0055312,nm0001008,Frank Capra
tt0055499,nm0000005,Ingmar Bergman
tt0055830,nm0367547,Herk Harvey
tt0056196,nm0001486,Sidney Lumet
tt0056277,nm0779670,Peter Graham Scott
tt0056315,nm0292720,Riccardo Freda
tt0056552,nm0000339,Roger Corman
tt0056575,nm0542720,Delbert Mann
tt0056592,nm0612322,Robert Mulligan
tt0056884,nm0006445,Éric Rohmer
tt0056923,nm0002045,Stanley Donen
tt0056943,nm0869664,Jacques Tourneur
tt0056993,nm0494110,Reginald Le Borg
tt0057012,nm0000040,Stanley Kubrick
tt0057128,nm0000339,Roger Corman
tt0057129,nm0936404,Robert Wise
tt0057196,nm0367860,Wojciech Has
tt0057358,nm0000005,Ingmar Bergman
tt0057443,nm0000878,Mario Bava
tt0057449,nm0000339,Roger Corman
tt0057608,nm0758508,Sidney Salkow
tt0058154,nm0591486,Vincente Minnelli
tt0058329,nm0000033,Alfred Hitchcock
tt0058333,nm0000339,Roger Corman
tt0058385,nm0002030,George Cukor
tt0058453,nm0703689,Richard Quine
tt0058571,nm0422484,Norman Jewison
tt0058700,nm0706575,Ubaldo Ragona
tt0058700,nm0758508,Sidney Salkow
tt0058997,nm0695937,Otto Preminger
tt0059079,nm0002254,King Hu
tt0059113,nm0000180,David Lean
tt0059742,nm0936404,Robert Wise
tt0059821,nm0000339,Roger Corman
tt0059895,nm0869664,Jacques Tourneur
tt0059895,nm0393094,Ishirô Honda
tt0060522,nm0943758,William Wyler
tt0060584,nm0301145,Leonid Gaidai
tt0060827,nm0000005,Ingmar Bergman
tt0061107,nm0000033,Alfred Hitchcock
tt0061184,nm0001566,Mike Nichols
tt0061597,nm0151653,Cheh Chang
tt0061722,nm0001566,Mike Nichols
tt0061735,nm0006452,Stanley Kramer
tt0061955,nm0000076,François Truffaut
tt0062376,nm0165412,James Clavell
tt0062467,nm0950109,Terence Young
tt0062767,nm0291035,Melvin Frank
tt0062985,nm0542702,Daniel Mann
tt0063227,nm0367431,Anthony Harvey
tt0063285,nm0716262,Michael Reeves
tt0063291,nm0349425,Tomás Gutiérrez Alea
tt0063350,nm0001681,George A. Romero
tt0063442,nm0769874,Franklin J. Schaffner
tt0063522,nm0000591,Roman Polanski
tt0063790,nm0000953,Peter Bogdanovich
tt0064116,nm0001466,Sergio Leone
tt0064117,nm0757256,Gene Saks
tt0064276,nm0000454,Dennis Hopper
tt0064747,nm0381638,Gordon Hessler
tt0065112,nm0000033,Alfred Hitchcock
tt0065597,nm0381638,Gordon Hessler
tt0066740,nm0297523,Robert Fuest
tt0066819,nm0796923,Don Siegel
tt0066921,nm0000040,Stanley Kubrick
tt0067093,nm0422484,Norman Jewison
tt0067185,nm0000797,Hal Ashby
tt0067824,nm0516344,Wei Lo
tt0067824,nm0156927,Chia-Hsiang Wu
tt0067866,nm0423524,Alejandro Jodorowsky
tt0067992,nm0835799,Mel Stuart
tt0068503,nm0297523,Robert Fuest
tt0068611,nm0000033,Alfred Hitchcock
tt0068744,nm0159201,Yuen Chor
tt0068767,nm0516344,Wei Lo
tt0068935,nm0000045,Bruce Lee
tt0069097,nm0006889,Herbert Ross
tt0069281,nm0000581,Joseph L. Mankiewicz
tt0069704,nm0000184,George Lucas
tt0069897,nm0384335,Jack Hill
tt0070034,nm0167195,Robert Clouse
tt0070557,nm0054402,Stanislaw Bareja
tt0070723,nm0281507,Richard Fleischer
tt0070735,nm0001351,George Roy Hill
tt0070791,nm0382779,Douglas Hickox
tt0070917,nm0362736,Robin Hardy
tt0071402,nm0935382,Michael Winner
tt0071517,nm0384335,Jack Hill
tt0071524,nm0000697,Billy Wilder
tt0071691,nm0001348,Werner Herzog
tt0072417,nm0001023,John Cassavetes
tt0072824,nm0338719,David Greene
tt0072991,nm0151653,Cheh Chang
tt0073121,nm0151653,Cheh Chang
tt0073179,nm0752922,Eldar Ryazanov
tt0073195,nm0000229,Steven Spielberg
tt0074300,nm0514906,Chia-Liang Liu
tt0074513,nm0151653,Cheh Chang
tt0075147,nm0504513,Richard Lester
tt0075148,nm0000814,John G. Avildsen
tt0075163,nm0000972,Tinto Brass
tt0075202,nm0151653,Cheh Chang
tt0075202,nm0943138,Wu Ma
tt0075314,nm0000217,Martin Scorsese
tt0075686,nm0000095,Woody Allen
tt0075704,nm0936404,Robert Wise
tt0075902,nm0906667,Andrzej Wajda
tt0075930,nm0169540,Larry Cohen
tt0076054,nm0625379,Gary Nelson
tt0076095,nm0006889,Herbert Ross
tt0076168,nm0514906,Chia-Liang Liu
tt0076727,nm0752922,Eldar Ryazanov
tt0076759,nm0000184,George Lucas
tt0076786,nm0000783,Dario Argento
tt0076797,nm0151653,Cheh Chang
tt0077292,nm0151653,Cheh Chang
tt0077294,nm0001382,Peter Hyams
tt0077362,nm0000797,Hal Ashby
tt0077559,nm0151653,Cheh Chang
tt0077711,nm0000005,Ingmar Bergman
tt0077713,nm0953392,Meir Zarchi
tt0077973,nm0151653,Cheh Chang
tt0078087,nm0001102,Joe Dante
tt0078111,nm0001501,Louis Malle
tt0078243,nm0514906,Chia-Liang Liu
tt0078249,nm0151653,Cheh Chang
tt0078428,nm0151653,Cheh Chang
tt0078444,nm0005196,Paul Mazursky
tt0078672,nm0170058,Cyril Coke
tt0078748,nm0000631,Ridley Scott
tt0078935,nm0219959,Ruggero Deodato
tt0079261,nm0001232,Milos Forman
tt0079372,nm0151653,Cheh Chang
tt0079417,nm0000914,Robert Benton
tt0079470,nm0001402,Terry Jones
tt0079522,nm0000095,Woody Allen
tt0080040,nm0227187,David Schmoeller
tt0080172,nm0514906,Chia-Liang Liu
tt0080319,nm0383359,Colin Higgins
tt0080354,nm0853546,Lewis Teague
tt0080391,nm0207357,John De Bello
tt0080453,nm0459170,Randal Kleiser
tt0080474,nm0742341,Stuart Rosenberg
tt0080482,nm0225935,Carlos Diegues
tt0080516,nm0575389,Peter Medak
tt0080569,nm0001243,William Friedkin
tt0080678,nm0000186,David Lynch
tt0080717,nm0514906,Chia-Liang Liu
tt0080743,nm0151653,Cheh Chang
tt0080905,nm0516316,Lo Lieh
tt0081404,nm0151653,Cheh Chang
tt0081494,nm0514906,Chia-Liang Liu
tt0081505,nm0000040,Stanley Kubrick
tt0081534,nm0844358,Jeannot Szwarc
tt0082153,nm0151653,Cheh Chang
tt0082174,nm0151653,Cheh Chang
tt0082198,nm0587518,John Milius
tt0082250,nm0935382,Michael Winner
tt0082498,nm0496746,J. Lee Thompson
tt0082817,nm0540330,Bruce Malmuth
tt0082817,nm0625379,Gary Nelson
tt0082817,nm0000230,Sylvester Stallone
tt0083624,nm0376963,Frank Henenlotter
tt0083658,nm0000631,Ridley Scott
tt0083866,nm0000229,Steven Spielberg
tt0083907,nm0000600,Sam Raimi
tt0083929,nm0002132,Amy Heckerling
tt0083944,nm0467646,Ted Kotcheff
tt0084310,nm0514905,Liu Chia-Yung
tt0084503,nm0000570,Alan Parker
tt0084516,nm0001361,Tobe Hooper
tt0084522,nm0163706,Bob Clark
tt0084548,nm0003794,Ryszard Bugajski
tt0084658,nm0002337,Roger Christian
tt0084671,nm0514906,Chia-Liang Liu
tt0084787,nm0000118,John Carpenter
tt0084805,nm0001628,Sydney Pollack
tt0085253,nm0342626,John Grissmer
tt0085333,nm0000118,John Carpenter
tt0085382,nm0853546,Lewis Teague
tt0085693,nm0908103,Pete Walker
tt0086058,nm0001603,Sam Peckinpah
tt0086320,nm0385349,Robert Hiltzik
tt0086465,nm0000484,John Landis
tt0086606,nm0514906,Chia-Liang Liu
tt0086960,nm0000976,Martin Brest
tt0087001,nm0602333,Philippe Mora
tt0087050,nm0452607,Fritz Kiersch
tt0087262,nm0504495,Mark L. Lester
tt0087332,nm0718645,Ivan Reitman
tt0087363,nm0001102,Joe Dante
tt0087843,nm0001466,Sergio Leone
tt0088000,nm0437596,Jeff Kanew
tt0088117,nm0783398,Charles E. Sellier Jr.
tt0088128,nm0000455,John Hughes
tt0088247,nm0000116,James Cameron
tt0088763,nm0000709,Robert Zemeckis
tt0088847,nm0000455,John Hughes
tt0088850,nm0001353,Walter Hill
tt0088944,nm0504495,Mark L. Lester
tt0088993,nm0001681,George A. Romero
tt0089003,nm0935382,Michael Winner
tt0089029,nm0514906,Chia-Liang Liu
tt0089218,nm0001149,Richard Donner
tt0089457,nm0001149,Richard Donner
tt0089461,nm0776317,Michael Schultz
tt0089730,nm0832573,Howard Storm
tt0089755,nm0001628,Sydney Pollack
tt0089853,nm0000095,Woody Allen
tt0089880,nm0181902,George P. Cosmatos
tt0089893,nm0281507,Richard Fleischer
tt0089981,nm0339264,David Greenwalt
tt0090057,nm0369771,Genie Joseph
tt0090057,nm0233409,Thomas Doran
tt0090057,nm1285609,Brendan Faulkner
tt0090094,nm0169540,Larry Cohen
tt0090142,nm0199722,Rod Daniel
tt0090190,nm0381230,Michael Herz
tt0090190,nm0442207,Lloyd Kaufman
tt0090305,nm0000455,John Hughes
tt0090756,nm0000186,David Lynch
tt0090768,nm0145309,Nick Castle
tt0090859,nm0181902,George P. Cosmatos
tt0091042,nm0000455,John Hughes
tt0091069,nm0629774,Arch Nicholson
tt0091188,nm0001566,Mike Nichols
tt0091203,nm0611683,Russell Mulcahy
tt0091209,nm0363553,Robert Harmon
tt0091306,nm0001508,Penny Marshall
tt0091530,nm0423646,Roland Joffé
tt0091544,nm0197088,Bob Dahlin
tt0091630,nm0215269,Fred Dekker
tt0091763,nm0000231,Oliver Stone
tt0091790,nm0222043,Howard Deutch
tt0091828,nm0410139,John Irvin
tt0091867,nm0412465,James Ivory
tt0091949,nm0000824,John Badham
tt0092005,nm0001661,Rob Reiner
tt0092605,nm0796124,Charles Shyer
tt0092666,nm0001175,Blake Edwards
tt0092675,nm0036582,Newt Arnold
tt0092710,nm0933505,Hugh Wilson
tt0092718,nm0711114,Steve Rash
tt0092906,nm0002340,Stuart Gordon
tt0093177,nm0000850,Clive Barker
tt0093191,nm0000694,Wim Wenders
tt0093437,nm0001708,Joel Schumacher
tt0093565,nm0422484,Norman Jewison
tt0093649,nm0827854,Steven Hilliard Stern
tt0093677,nm0000783,Dario Argento
tt0093773,nm0001532,John McTiernan
tt0093779,nm0001661,Rob Reiner
tt0093870,nm0000682,Paul Verhoeven
tt0093894,nm0001274,Paul Michael Glaser
tt0094006,nm0222043,Howard Deutch
tt0094137,nm0000559,Leonard Nimoy
tt0094293,nm0792446,Gary Sherman
tt0094625,nm0960028,Katsuhiro Ôtomo
tt0094721,nm0000318,Tim Burton
tt0094737,nm0001508,Penny Marshall
tt0094793,nm0376963,Frank Henenlotter
tt0094862,nm0276169,Tom Holland
tt0094898,nm0000484,John Landis
tt0094963,nm0887174,Buddy Van Horn
tt0094964,nm0000343,David Cronenberg
tt0095016,nm0001532,John McTiernan
tt0095294,nm0709752,Tony Randel
tt0095444,nm0158014,Stephen Chiodo
tt0095583,nm0527350,William Lustig
tt0095593,nm0001129,Jonathan Demme
tt0095765,nm0868153,Giuseppe Tornatore
tt0095925,nm0935644,Stan Winston
tt0095956,nm0003423,Peter MacDonald
tt0095963,nm0001353,Walter Hill
tt0096101,nm0425540,Kenneth Johnson
tt0096194,nm0671877,Anna Penido
tt0096194,nm0814408,David Sonnenschein
tt0096320,nm0718645,Ivan Reitman
tt0096332,nm0442241,Philip Kaufman
tt0096463,nm0001566,Mike Nichols
tt0096523,nm0684509,Claude Pinoteau
tt0096794,nm0000229,Steven Spielberg
tt0096874,nm0000709,Robert Zemeckis
tt0096945,nm0637518,Phillip Noyce
tt0097138,nm0089502,Albert Pyun
tt0097165,nm0001837,Peter Weir
tt0097239,nm0000915,Bruce Beresford
tt0097428,nm0718645,Ivan Reitman
tt0097499,nm0000110,Kenneth Branagh
tt0097523,nm0002653,Joe Johnston
tt0097659,nm0228262,Mark DiSalle
tt0097659,nm0175730,David Worth
tt0097722,nm0000814,John G. Avildsen
tt0097770,nm0283500,John Flynn
tt0097778,nm0002132,Amy Heckerling
tt0097790,nm0798717,Joan Micklin Silver
tt0097937,nm0006487,Jim Sheridan
tt0098084,nm0005116,Mary Lambert
tt0098143,nm0227187,David Schmoeller
tt0098213,nm0601619,Michael Moore
tt0098258,nm0001081,Cameron Crowe
tt0098354,nm0951206,Brian Yuzna
tt0098439,nm0464846,Andrei Konchalovsky
tt0098635,nm0001661,Rob Reiner
tt0098800,nm0421675,Shelley Jensen
tt0098800,nm0578162,Jeff Melman
tt0098800,nm0265954,Ellen Gittelsohn
tt0098800,nm0187892,Madeline Cripe
tt0098800,nm0899085,Chuck Vinson
tt0098800,nm5165734,Rita Rogers Blye
tt0098800,nm0899330,Maynard C. Virgil I
tt0098800,nm0000739,Debbie Allen
tt0098800,nm0470153,Rae Kraus
tt0098800,nm0907439,Werner Walian
tt0098800,nm0676592,Michael Peters
tt0098800,nm0912528,Malcolm-Jamal Warner
tt0098800,nm0005355,Alfonso Ribeiro
tt0098966,nm0001915,Emile Ardolino
tt0099253,nm0480843,John Lafia
tt0099329,nm0000691,John Waters
tt0099385,nm0764776,Deran Sarafian
tt0099409,nm0001047,Michael Cimino
tt0099487,nm0000318,Tim Burton
tt0099595,nm0163990,Greydon Clark
tt0099653,nm0958387,Jerry Zucker
tt0099699,nm0001837,Peter Weir
tt0099700,nm0001102,Joe Dante
tt0099763,nm0573796,John McNaughton
tt0099785,nm0001060,Chris Columbus
tt0099826,nm0165965,Tom Clegg
tt0099864,nm0908890,Tommy Lee Wallace
tt0099938,nm0718645,Ivan Reitman
tt0099969,nm0797854,Joel Silberg
tt0100029,nm0504802,Sheldon Lettich
tt0100050,nm0002132,Amy Heckerling
tt0100070,nm0945592,Tizuka Yamasaki
tt0100157,nm0001661,Rob Reiner
tt0100240,nm0004305,George Miller
tt0100395,nm0001566,Mike Nichols
tt0100405,nm0005190,Garry Marshall
tt0100419,nm0240797,Dennis Dugan
tt0100438,nm0020406,David Allen
tt0100502,nm0449984,Irvin Kershner
tt0100680,nm0728688,Martin Ritt
tt0100802,nm0000682,Paul Verhoeven
tt0100814,nm0881038,Ron Underwood
tt0100935,nm0000186,David Lynch
tt0101272,nm0001756,Barry Sonnenfeld
tt0101309,nm0381489,Jon Hess
tt0101455,nm0730422,Matthew Robbins
tt0101492,nm0714599,Eric Red
tt0101764,nm0504802,Sheldon Lettich
tt0101862,nm0796124,Charles Shyer
tt0101912,nm0005190,Garry Marshall
tt0102103,nm0487567,James Lapine
tt0102266,nm0001716,Tony Scott
tt0102492,nm0956052,Howard Zieff
tt0102494,nm0001814,Gus Van Sant
tt0102590,nm0002120,Lasse Hallström
tt0102690,nm0380628,Mark Herrier
tt0102690,nm0650276,Alan Ormsby
tt0102719,nm0505152,Brian Levant
tt0102728,nm0213983,David DeCoteau
tt0102926,nm0001129,Jonathan Demme
tt0103064,nm0000116,James Cameron
tt0103074,nm0000631,Ridley Scott
tt0103239,nm0853546,Lewis Teague
tt0103241,nm0000568,Frank Oz
tt0103247,nm0459170,Randal Kleiser
tt0103262,nm0591171,Steve Miner
tt0103776,nm0000318,Tim Burton
tt0103786,nm0505152,Brian Levant
tt0103859,nm0399737,Reginald Hudlin
tt0103873,nm0001392,Peter Jackson
tt0103919,nm0741262,Bernard Rose
tt0103956,nm0070474,Jack Bender
tt0104070,nm0000709,Robert Zemeckis
